127.0.0.1 - - [03/Feb/2025:11:02:49 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:02:50 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:04:16 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:05:32 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:18:50 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:18:52 +0530] "GET /EmployeeLeaveManagement/register.jsp HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:19:52 +0530] "GET /EmployeeLeaveManagement/register.jsp HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:21:01 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:21:03 +0530] "GET /EmployeeLeaveManagement/register.jsp HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [03/Feb/2025:11:21:11 +0530] "GET /EmployeeLeaveManagement/login.jsp HTTP/1.1" 200 1863
